S_GES,U_GES,T
15.8,55.3,28.9
11.8,54.2,34
13.4,69.1,17.5
13.9,71.2,14.9
64,25,10
80,13,6.8
55,34,11
71,20,9
82,12,6.4
29,56,15
37,45,17
28,40,32
29,53,18
16.8,63.1,20.1
45,45,10
41,49,10
40,45,14
44,46,9.7
44,45,11
2.1718,53.901399999999995,43.9269
9.0286,73.6263,17.3451
7.1055,77.49080000000001,15.4037
2.2209000000000003,66.0988,31.6802
3.5545,73.3955,23.0499
63,21,16
64,22,14
63,22,15
68,21,11
74.6,17.2,8.2
78.6,15.2,6.2
83.5,12.6,3.9
14,62,24
20,69,11
14,60,26
21,68,12
38.5,32.7,28.8
43,44,13
44.1,41.5,14.5
2.9,45,52
4.8,49,46
17,64,20
2.1,50,48
46.6,33.7,19.7
41.4,34.3,24.3
83.6,11.1,5.3
91.1,5.2,3.7
76.9,15.4,7.7
2.1,66,32
1.8,53,46
2.3,70,28
3.4,64,33
3.3682999999999996,45.772999999999996,50.8588
6.4209,74.3637,19.2154
12.5501,69.7724,17.6775
3.8545000000000003,61.50710000000001,34.6384
1.5,46,53
2.5,81,17
3.2,74,23
2.2,60,37
11,38,51
4.3346,62.1825,33.4829
9.661,57.9564,32.3827
8.541599999999999,72.4491,19.0094
9.8285,69.0004,21.1711
6.0593,71.83279999999999,22.1079
1.3909999999999998,61.6066,37.0023
36.4,29.7,33.9
44.1,27.3,28.7
40.3,31.2,28.6
30.5,39.6,29.8
17.9,30.4,51.7
27,24.1,48.9
9.291,57.22370000000001,33.4853
2.2476999999999996,58.991,38.7612
9.8744,73.56819999999999,16.5575
4.5082,76.12870000000001,19.3632
44.1,40.599999999999994,15.4
42.7,42.9,14.3
42,43.099999999999994,14.8
49.1,37.7,13.2
40,48,12
41,30,29
23,53,24
2.5,25,73
8.6,73,18
18,56,26
15,39,46
73.1,18.700000000000003,8.1
69.1,18.299999999999997,12.5
69.7,19.6,10.7
70.6,18.8,10.6
69.7,18.9,11.4
80.8,14.5,4.6
51,19,30
52,17,31
44,17,39
32,36,32
74,5.1,21
66,5,29
35,25,41
50,18,32
32,36,32
58,24,18
69,23,8.3
56,21,23
66,23,11
63,24,13
69,23,7.5
64,26,9.7
64,28,8
70,25,5.1
62,28,10
58.3,24.7,17
62.199999999999996,25.3,12.7
68.80000000000001,22.4,8.7
62.599999999999994,23.5,13.8
14,41,45
24,33,44
26,48,26
15,42,43
14,43,43
52.1,32.1,15.8
55.5,6.5,38
63.4,6.1,30.5
74.7536,20.0025,5.2439
73.626,21.8286,4.5454
72.6442,20.2928,7.063
73.0395,21.1312,5.8293
72.7037,21.2953,6.0009
68.4849,25.3886,6.1265
79.9,16.6,3.5
80.1,15.3,4.6
66.1,17.1,16.8
82.6,8.4,9
10.222,58.0499,31.728
12.3458,51.977999999999994,35.6762
13.4329,50.670100000000005,35.8971
19.7197,51.6254,28.6549
23.5747,40.7348,35.6905
27.9342,43.2217,28.8441
15,38,48
7.6,63.9,28.5
5,56.2,38.8
3.4,67.3,29.3
4.8,74.8,20.4
11.5,49.6,38.9
84.7461,8.7647,6.4892
81.4004,11.790499999999998,6.8091
81.22540000000001,11.848,6.9265
73.2961,8.5835,18.1205
13.290600000000001,24.2077,62.5016
56.9,31,12
29.1,45.7,25.1
30,44,25
57,22,21
27,46,27
50,13,37
91,5.3,3.9
91,4.9,4.4
90,6.3,3.8
33,31,37
77,9,14
65.2,23.299999999999997,11.4
63.60000000000001,23.5,13
61.800000000000004,24.6,13.6
59.900000000000006,28.200000000000003,11.9
82,13,5.5
81,14,4.9
46,17,37
31,37,32
40,25,35
14,32,54
41,25,33
33,22,45
86.6,10.9,2.5
91.2,7.6,1.2
87.9,4.6,7.5
74.6,3.2,22.2
78.1,4.6,17.3
92.2,0.6,7.2
17,53,30
50,33,17
76,7.7,16
37,41,22
2.7,75,22
3.3,82,14
1.6,62,37
3,83,14
3.6,51,45
5.8,43,51
4,50,46
44,30,26
53,29,18
33,47,20
54,30,17
55,30,14
15,60,26
16,59,25
28,42,30
25,50,25
9.7,73,18
12,58,29
3.7,68,29
2.6,73,24
2.6,75,23
4.1,26,70
2.1,38,60
15,58,27
19,66,15
19,64,16
20,68,12
23,38,39
8.6,39,52
20,39,41
20,40,41
7.9,60,32
13.499999999999998,33.6,53
21.2,42.9,35.8
42.5,35.2,22.2
23.099999999999998,44.2,32.7
1.6,66,32
1.7,64,34
3.3,67,30
8.3,66,25
94,5.1,1.3
89,8.9,2.4
89,9.1,2.4
88,10,1.2
60,31,8.7
70,18,12
11,48,40
6,42,52
3.6,69,27
19,25,55
1.8,65,33
2.8,63,35
5.9,72,22.2
12,53,35.5
64.5,32.8,2.7
27.3,72.6,0.1
16.6,81.30000000000001,2.1
9.1,88.5,2.4
27.1,61.3,11.6
3.7,79.1,17.2
1.6,58.4,40
0.72,74,25
0.13,60,40
1.2,66,32
2.4,68,30
1.5,70,29
1.9,67,31
5.6,44,50.3
5.1,83.3,11.6
2.7,61.9,35.3
2.9,81.1,15.9
2.5,65.3,32.4
10,90,0.1
6.7,89.3,3.9
3,94.69999999999999,2.3
20.3,79,0.8
12.5,86.7,0.8
5.7,49.2,45.2
7.6,41,51.4
6.7,67.8,25.6
2.5,67,30.5
17.3,63.6,19.2
6.3,60.9,32.8
3.7,36.6,59.7
3.3,70.2,26.5
3.4,70.2,26.5
3.2,67.8,29
29.5,40.4,30.1
4.9,73.8,21.3
3.7,68.6,27.7
3.8,67.6,28.6
5,71.7,23.3
10.6,66.6,22.8
2.8,72.3,24.9
3.6,73.2,23.2
4.5,76.3,19.2
6.5,65,28.5
1.7,59.6,38.7
3.1,73.2,23.7
4,69.3,26.7
5.6,36,58
5.2,37,58
5.8,42,52
9.1,52.7,38.2
10,67,23.1
10.2,68.5,21.3
6.8,40.1,53.1
23.8,74.5,1.8
11.399999999999999,86.80000000000001,1.8
5.1,81.4,13.6
10.1,64.8,25
4.6,68.6,26.7
4.8,69.7,25.6
64,12,24
63,24,14
69,21,10
71,20,8.9
8.4,48.8,42.7
8.2,52,40
27,45,28
8.7,61,30
9.7,66,24
24,56,20
7.4,35,57
25,39,36
1.5,77.8,20.7
2.2,82.7,15
1.4,72.8,25.7
2.7,61.3,36.1
21.5,54.6,23.9
15.6,56,28.4
7.8,37.6,54.5
3.7,36.6,59.7
63,22,15
63,24,13
57,16,27
28,27,45
34,19,47
47,34,20
2.2,64,34
2,65,33
11,58,31
24.4,63.39999999999999,12.1
19.6,63.8,16.6
40.6,49.3,10.1
8.6,63.5,27.9
11.9,63.1,25
4.5831,82.9059,12.5111
4.7832,82.731,12.4857
2.5111,61.4002,36.0887
3.005,62.0974,34.8977
6.4038,85.5906,8.0056
4.5,27.4,68.2
14.4,28.2,57.5
9,44.9,46.1
16,51.7,32.4
13.7,54.2,32.2
1.2,37,62
0.98,41,58
0.57,23,77
13.8,66.7,19.4
14.2,64.4,21.4
13.6,66.9,19.5
22.6,55.3,22
2.7,57.4,39.9
4.6,67.2,28.2
35,35,30
6,80,14
7,78,15
7.4,45,47
4.1,82,14
6.9,69,24
7.5,75,17
6.3,69,25
7.6,42,51
6.8,58,35
22.1,59.9,18
16.9,59.2,23.9
23.4,59.1,17.7
50.4,34.1,15.6
95,2.2,2.8
60,21,19
81,7.5,12
63,22,15
64,19,17
4.9,67.2,27.9
4.1,64.8,31
8.9,77,14
9.8,76,14
11,72,17
7.5,64,28
7.4,55,38
14,46,40
1.7,74,24
2.1,70,28
1.4,39,60
1.4,30,68
5.8,24,71
28,59,13
26,57,18
26,55,19
3,66,31
4.9,63,32
4.5,72,24
4,70,26
2.9,63,34
2.2,72,26
2.2,62,36
1.9,67,31
15.3,75.9,8.6
7.4,77.2,15.5
2.5,59.8,37.7
5.2,72.3,22.5
3.1,82.3,14.7
3.6,83.6,12.8
2.1,65.4,32.5
87.1,10.3,2.6
87.8,10.4,1.7
86.5,11.6,2
60,16.6,23.4
67.19999999999999,20.5,12.4
80.8,10.7,8.4
46.9,24,29
4.4,79.5,16
4.5,65.3,30.3
2.6,63.4,33.9
3.6,80.8,15.6
3.5,71.8,24.7
37.900000000000006,41.1,21.1
70.6,15.5,13.9
46.5,27.2,26.3
43.900000000000006,27.8,28.3
54,27.299999999999997,18.6
63.1,22.7,14.3
89.60000000000001,7.000000000000001,3.5
90.2,6.300000000000001,3.6
90.8,7.5,1.9
87.8,10.2,2
50.2,17.5,32.4
9.4983,77.7967,12.705
8.5938,78.56389999999999,12.8422
3.3385999999999996,65.3913,31.2701
30.294900000000002,53.7281,15.977
23.3168,62.9962,13.687
24.977599999999995,45.98140000000001,29.0409
32,58,11
32,57,11
33,41,26
18.3191,66.6112,15.0696
13.506,72.9738,13.5203
7.6392,59.470600000000005,32.8902
7.8352,48.6714,43.4935
2.4,61.9,35.7
2.8,62.9,34.3
3.5,67.8,28.7
2.8,75.5,21.7
27.0608,58.7541,14.1852
28.36,38.6005,33.0395
29.7172,61.111599999999996,9.1712
21.3,44.7,33.9
21.7,45.7,32.6
37.7,22.2,40.2
68.1251,20.1288,11.7461
32.83,29.1314,38.0385
76.2135,21.2265,2.56
73.0008,23.2479,3.7514
9.2,52.7,38.1
9.5,50.8,39.8
3.9,79.9,16.2
2.2,77.1,20.7
1.7,68,30.2
1.8,76.1,22.2
57.18400000000001,31.847900000000003,10.968
65.7645,27.698700000000002,6.5368
71.6481,18.796,9.5559
66.12729999999999,29.0606,4.812
30,58.2,11.9
20,59.3,20.6
19.5,58.3,22.2
6.800000000000001,25.8,67.4
20.200000000000003,29.9,49.7
26.8,46,27.2
29.419,40.953,29.62
35.8,42,22.1
37.199999999999996,41.400000000000006,21.4
55.6,29,15.5
2.2,39,59
1.1,33,66
3.6,49,47
3.9,63,33
6.1,32,62
4.2,58,38
4.8,59,36
17.6,41.3,41.2
17.6,44.9,37.6
48,33,19
5.2,54,40
65,22,12
91.7,5,3.3
90.3,6.4,3.3
88.5,7.3,4.3
88.2,8.1,3.8
1.8,67.6,30.6
2.7,70,27.1
1.5,65.6,32.9
3.7,76.7,19.5
2.1,64.1,33.8
4.8,71.2,24
1.2,62.7,36.1
1.9,70.2,28
75.54879999999999,17.0126,7.4387
72.6118,19.215200000000003,8.173
63.357,18.6414,18.0016
75.62870000000001,18.9266,5.4446
1,76.5,22.5
2.6,75,22.3
1.3,64.4,34.2
1.9,66.2,31.9
0.47,68,32
0.64,66,34
0.6,42,57
1.1,76,23
2.2,71,27
5.3,72,23
68.1,21.3,10.6
51.900000000000006,21.3,26.8
42.099999999999994,15.3,42.5
28.2,38.1,33.8
44.7,37.8,17.6
53.1,31.8,15.1
73,16.2,10.9
73,17,10
59,28,13
0.66,77,23
0.66,69,31
0.57,64,35
2.4,77,21
11,67,22
9,69,22
13,38,49
13,42,46
4.5,65.2,30.2
2.1,63,34.9
4.1,73.80000000000001,22
4.1000000000000005,77.5,18.5
3.4,45,51
2.2,45,53
5.7,59,35
23.7,59,17.4
20.000000000000004,59.900000000000006,20.2
20.8,43.4,35.8
3,22,75
10,52,38
1.2,34,64
8.6,26,65
19.700000000000003,46,34.3
36.400000000000006,26.5,37.1
10.100000000000001,60,29.9
4.8999999999999995,65,30.2
13,63,24
18,61,20
25,61,14
50.199999999999996,36,13.7
37.800000000000004,35.6,26.5
60.5,30.500000000000004,9.1
69.89999999999999,24,6.2
72.5,9.3,18.1
1.5,31,67
8.6,28,63
4.2,76.2,19.6
4.8,76.9,18.2
3.5999999999999996,63.1,33.2
14.3,45.4,40.3
25.099999999999998,40.4,34.4
23.200000000000003,44.5,32.3
19.4,52.400000000000006,28.2
20.200000000000003,59.2,20.6
27.6,38.099999999999994,34.2
22.900000000000002,53.900000000000006,23.1
5.500000000000001,77.7,16.8
4.6,71.10000000000001,24.1
2.9,57.6,39.6
2.8000000000000003,64,33.2
5.699999999999999,73.9,20.5
21,49,30
